phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,0.2377511375894149,0.0,0.0,0.2377511375894149,0.0,0.0,0.0,0.0,0.9219333096345266,0.14664072452578694,0.9565999770164489,54.22834801673889
finetune,2,0.2376893807730327,0.0,0.0,0.2376893807730327,0.0,0.0,0.0,0.0,0.9220888662338257,0.14556374533101915,0.9545999747514725,54.93868565559387
finetune,3,0.24029535379260777,0.0,0.0,0.24029535379260777,0.0,0.0,0.0,0.0,0.920955533583959,0.15381087504327298,0.9517999792098999,53.73204588890076
finetune,4,0.23769327093122733,0.0,0.0,0.23769327093122733,0.0,0.0,0.0,0.0,0.920755533642239,0.15452783124521374,0.9549999761581421,53.66069483757019
finetune,5,0.23747436490116847,0.0,0.0,0.23747436490116847,0.0,0.0,0.0,0.0,0.9215777551465564,0.1556357243936509,0.9523999762535095,53.75142693519592
finetune,6,0.2305331182666123,0.0,0.0,0.2305331182666123,0.0,0.0,0.0,0.0,0.9233333110147053,0.14821994396857918,0.9553999769687652,54.78546690940857
finetune,7,0.2250273695970989,0.0,0.0,0.2250273695970989,0.0,0.0,0.0,0.0,0.9245110889275868,0.14954355790279805,0.9511999779939652,53.506253719329834
finetune,8,0.2202531357978781,0.0,0.0,0.2202531357978781,0.0,0.0,0.0,0.0,0.9265110879474217,0.1421938790474087,0.9543999809026719,53.41618776321411
finetune,9,0.2154854883812368,0.0,0.0,0.2154854883812368,0.0,0.0,0.0,0.0,0.9280444222026402,0.15035346331074834,0.9547999757528305,53.608962059020996
finetune,10,0.21246119153168466,0.0,0.0,0.21246119153168466,0.0,0.0,0.0,0.0,0.92955553372701,0.1452578554302454,0.9541999781131745,53.855520725250244
finetune,11,0.21242724541781677,0.0,0.0,0.21242724541781677,0.0,0.0,0.0,0.0,0.9297555326753193,0.1381475100805983,0.9585999780893326,53.65833020210266
finetune,12,0.20381210394617583,0.0,0.0,0.20381210394617583,0.0,0.0,0.0,0.0,0.9343999775913027,0.13790096868760884,0.9579999768733978,53.622063636779785
finetune,13,0.1959863513780551,0.0,0.0,0.1959863513780551,0.0,0.0,0.0,0.0,0.9357999774482515,0.13250701651908459,0.9591999787092209,53.280917167663574
finetune,14,0.19209380069747567,0.0,0.0,0.19209380069747567,0.0,0.0,0.0,0.0,0.9365777544842826,0.1386432694364339,0.9573999774456025,53.83115267753601
finetune,15,0.19123999234599373,0.0,0.0,0.19123999234599373,0.0,0.0,0.0,0.0,0.9371333114968405,0.13178010493051262,0.9587999784946442,53.7187614440918
finetune,16,0.1811604664629946,0.0,0.0,0.1811604664629946,0.0,0.0,0.0,0.0,0.9406221999062432,0.1255702580185607,0.9605999761819839,53.78735065460205
finetune,17,0.18137665314703352,0.0,0.0,0.18137665314703352,0.0,0.0,0.0,0.0,0.9405333113670349,0.13322427202947437,0.9571999746561051,53.45422601699829
finetune,18,0.16890850971659851,0.0,0.0,0.16890850971659851,0.0,0.0,0.0,0.0,0.9451777551571529,0.11673941210377961,0.9627999794483185,57.754607915878296
finetune,19,0.16589556188529564,0.0,0.0,0.16589556188529564,0.0,0.0,0.0,0.0,0.9450888674126731,0.12422320729121566,0.9633999812602997,53.91647291183472
finetune,20,0.16040516659824386,0.0,0.0,0.16040516659824386,0.0,0.0,0.0,0.0,0.9471555321084129,0.12557009258773177,0.9613999778032303,53.65651082992554
finetune,21,0.15689881702471112,0.0,0.0,0.15689881702471112,0.0,0.0,0.0,0.0,0.9491110890441471,0.1230307724326849,0.9643999779224396,53.554123640060425
finetune,22,0.15292272817964356,0.0,0.0,0.15292272817964356,0.0,0.0,0.0,0.0,0.950599978433715,0.119946456477046,0.9635999780893326,53.547093629837036
finetune,23,0.1511373752904021,0.0,0.0,0.1511373752904021,0.0,0.0,0.0,0.0,0.9500222001473109,0.11310588474851102,0.9653999769687652,53.62235617637634
finetune,24,0.15074761738483278,0.0,0.0,0.15074761738483278,0.0,0.0,0.0,0.0,0.9505333107047611,0.11204610192682594,0.9657999753952027,53.634711265563965
finetune,25,0.14417059287221895,0.0,0.0,0.14417059287221895,0.0,0.0,0.0,0.0,0.9517110885514153,0.1135172066371888,0.9681999796628952,53.30425190925598
finetune,26,0.1422648243435348,0.0,0.0,0.1422648243435348,0.0,0.0,0.0,0.0,0.9530666442049874,0.12009350258857011,0.9651999765634537,53.62961006164551
finetune,27,0.13989164433700757,0.0,0.0,0.13989164433700757,0.0,0.0,0.0,0.0,0.9529110895262825,0.11114042324014008,0.9671999764442444,53.997270584106445
finetune,28,0.13526167770640718,0.0,0.0,0.13526167770640718,0.0,0.0,0.0,0.0,0.9551777546935611,0.11324382420629263,0.9679999780654908,53.77455806732178
finetune,29,0.1360254616719774,0.0,0.0,0.1360254616719774,0.0,0.0,0.0,0.0,0.9554888663689295,0.10836768406443298,0.9693999779224396,53.673056840896606
finetune,30,0.13667859393068485,0.0,0.0,0.13667859393068485,0.0,0.0,0.0,0.0,0.9547333107391993,0.10812066303566098,0.9691999781131745,53.619789361953735
