phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,0.6176495013468796,0.0,0.0,0.6176495013468796,0.0,0.0,0.8045110890600417,0.21359538193792105,0.9299999761581421,53.972861766815186
finetune,2,0.4055385007626481,0.0,0.0,0.4055385007626481,0.0,0.0,0.8703555314408409,0.14840327210724355,0.9491999793052673,53.66209125518799
finetune,3,0.34323112677368856,0.0,0.0,0.34323112677368856,0.0,0.0,0.8869110867049959,0.1288447768613696,0.9541999769210815,53.857627868652344
finetune,4,0.3128716025667058,0.0,0.0,0.3128716025667058,0.0,0.0,0.8960221982664532,0.1097641996666789,0.9637999767065049,54.04159665107727
finetune,5,0.2950044552009139,0.0,0.0,0.2950044552009139,0.0,0.0,0.9024666427903705,0.0993766250833869,0.9659999781847,54.02862238883972
finetune,6,0.2841089570025603,0.0,0.0,0.2841089570025603,0.0,0.0,0.903999976184633,0.11411688415333629,0.9623999744653702,54.07945942878723
finetune,7,0.269529741069095,0.0,0.0,0.269529741069095,0.0,0.0,0.9105333097113504,0.09699035157449544,0.9679999774694443,53.99215507507324
finetune,8,0.2564224333191911,0.0,0.0,0.2564224333191911,0.0,0.0,0.9148221978214052,0.10555850730277598,0.9625999754667283,53.684215784072876
finetune,9,0.25419217372520103,0.0,0.0,0.25419217372520103,0.0,0.0,0.9155110883712768,0.09941136013716459,0.964399978518486,54.15527868270874
finetune,10,0.2335463340052714,0.0,0.0,0.2335463340052714,0.0,0.0,0.9217110890812344,0.09774762046989054,0.9635999763011932,54.013139963150024
finetune,11,0.23663155909627676,0.0,0.0,0.23663155909627676,0.0,0.0,0.9213333102729585,0.09612242561765015,0.9689999794960023,54.125654458999634
finetune,12,0.22929015897007451,0.0,0.0,0.22929015897007451,0.0,0.0,0.9232444206211302,0.09511024800129235,0.9677999764680862,63.50021982192993
finetune,13,0.22211844503879546,0.0,0.0,0.22211844503879546,0.0,0.0,0.9266888663503858,0.09336279808543622,0.9691999787092209,54.28863978385925
finetune,14,0.20746634610411194,0.0,0.0,0.20746634610411194,0.0,0.0,0.9299999767541886,0.09734362991992385,0.9667999762296676,53.981456995010376
finetune,15,0.2012288141064346,0.0,0.0,0.2012288141064346,0.0,0.0,0.9321555321084128,0.09135841349605471,0.9695999783277511,54.558021545410156
finetune,16,0.20703141970973876,0.0,0.0,0.20703141970973876,0.0,0.0,0.9310221983326806,0.0881538606248796,0.9721999782323837,53.97397327423096
finetune,17,0.18420919680967926,0.0,0.0,0.18420919680967926,0.0,0.0,0.9390444223748313,0.08352818566840142,0.9753999781608581,54.26785731315613
finetune,18,0.18657927982095215,0.0,0.0,0.18657927982095215,0.0,0.0,0.938399978544977,0.07230752311646939,0.9771999770402908,53.68177127838135
finetune,19,0.17907948066687418,0.0,0.0,0.17907948066687418,0.0,0.0,0.9401333106226392,0.07650172424968332,0.9751999771595001,53.86282157897949
finetune,20,0.17282733946003848,0.0,0.0,0.17282733946003848,0.0,0.0,0.9424666451083289,0.07736509245354682,0.9763999807834626,54.1246178150177
finetune,21,0.16570724851865734,0.0,0.0,0.16570724851865734,0.0,0.0,0.9451333107550939,0.07047153643798083,0.9769999802112579,54.10670852661133
finetune,22,0.17009071667264733,0.0,0.0,0.17009071667264733,0.0,0.0,0.9440666445096334,0.06967590828891844,0.9773999774456024,54.09169268608093
finetune,23,0.1614243968658977,0.0,0.0,0.1614243968658977,0.0,0.0,0.9474444225761626,0.06770302351564168,0.9791999799013138,54.00365734100342
finetune,24,0.15368153844546112,0.0,0.0,0.15368153844546112,0.0,0.0,0.9487333118915557,0.06836376978084445,0.9797999823093414,55.879918575286865
finetune,25,0.15089679539824524,0.0,0.0,0.15089679539824524,0.0,0.0,0.951733311480946,0.0679377125063911,0.9775999796390533,54.095898389816284
finetune,26,0.1509306704444397,0.0,0.0,0.1509306704444397,0.0,0.0,0.9511333111259672,0.06049201002344489,0.9811999797821045,54.257100343704224
finetune,27,0.15118011913779708,0.0,0.0,0.15118011913779708,0.0,0.0,0.9499333101511002,0.05903560932260007,0.9817999792098999,53.75924754142761
finetune,28,0.1540975694710182,0.0,0.0,0.1540975694710182,0.0,0.0,0.9486888664960861,0.0639500140119344,0.9819999808073043,53.642210721969604
finetune,29,0.14848571460590596,0.0,0.0,0.14848571460590596,0.0,0.0,0.9514444227351083,0.060560623020865026,0.9807999819517136,54.020020961761475
finetune,30,0.14458635609493486,0.0,0.0,0.14458635609493486,0.0,0.0,0.9516666436195373,0.06937798209488392,0.9799999779462815,53.95705819129944
