phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,2.165371110174391,0.0,0.0,2.165371110174391,0.0,0.0,0.0,0.0,0.16717777324219546,1.7458184826374055,0.25479999370872974,50.42899203300476
finetune,2,1.7846492901113298,0.0,0.0,1.7846492901113298,0.0,0.0,0.0,0.0,0.26199999346087377,1.598825865983963,0.31059999331831933,49.30477833747864
finetune,3,1.6857428994443682,0.0,0.0,1.6857428994443682,0.0,0.0,0.0,0.0,0.3150666588379277,1.469852614402771,0.3845999899506569,49.327457666397095
finetune,4,1.5784292079342737,0.0,0.0,1.5784292079342737,0.0,0.0,0.0,0.0,0.37635554543799826,1.3145591354370116,0.4725999864935875,49.38866710662842
finetune,5,1.467733256816864,0.0,0.0,1.467733256816864,0.0,0.0,0.0,0.0,0.4304888767169581,1.2277014356851579,0.523199985921383,49.64129662513733
finetune,6,1.4121726895040936,0.0,0.0,1.4121726895040936,0.0,0.0,0.0,0.0,0.46106665374504197,1.199334853887558,0.5285999834537506,49.5137677192688
finetune,7,1.3578390404250886,0.0,0.0,1.3578390404250886,0.0,0.0,0.0,0.0,0.48791109782126213,1.1078745192289352,0.5683999848365784,49.55634117126465
finetune,8,1.3150661733415392,0.0,0.0,1.3150661733415392,0.0,0.0,0.0,0.0,0.5067110963000192,1.0615080434083939,0.5889999851584434,49.7724769115448
finetune,9,1.288962595793936,0.0,0.0,1.288962595793936,0.0,0.0,0.0,0.0,0.5173777634567684,1.0534454786777496,0.5967999842762947,49.69684290885925
finetune,10,1.259016739461157,0.0,0.0,1.259016739461157,0.0,0.0,0.0,0.0,0.5301555410689778,1.0225836008787155,0.6119999861717225,49.42825651168823
finetune,11,1.2354259074396556,0.0,0.0,1.2354259074396556,0.0,0.0,0.0,0.0,0.5405110955238343,0.9948294478654861,0.6217999827861785,49.481401205062866
finetune,12,1.2197928324010636,0.0,0.0,1.2197928324010636,0.0,0.0,0.0,0.0,0.5464666511946255,0.9890138298273087,0.6243999823927879,49.92889094352722
finetune,13,1.2049834637509451,0.0,0.0,1.2049834637509451,0.0,0.0,0.0,0.0,0.5545333180493779,0.97991743683815,0.6241999846696854,51.25519633293152
finetune,14,1.1786776267157661,0.0,0.0,1.1786776267157661,0.0,0.0,0.0,0.0,0.5660888736777835,0.9545212662220002,0.6415999862551689,51.48504567146301
finetune,15,1.163488637606303,0.0,0.0,1.163488637606303,0.0,0.0,0.0,0.0,0.5708666499786906,0.9266013395786286,0.6557999867200851,50.49098205566406
finetune,16,1.1544393564595117,0.0,0.0,1.1544393564595117,0.0,0.0,0.0,0.0,0.575933317442735,0.9330028063058853,0.6559999847412109,49.62314796447754
finetune,17,1.141451268725925,0.0,0.0,1.141451268725925,0.0,0.0,0.0,0.0,0.5807555396027035,0.9071101319789886,0.6693999856710434,50.46423530578613
finetune,18,1.12858644704024,0.0,0.0,1.12858644704024,0.0,0.0,0.0,0.0,0.5841555409961277,0.9016700756549835,0.6633999866247177,49.74007844924927
finetune,19,1.126557508111,0.0,0.0,1.126557508111,0.0,0.0,0.0,0.0,0.586733318037457,0.902989142537117,0.6609999853372573,49.894081354141235
finetune,20,1.109214551779959,0.0,0.0,1.109214551779959,0.0,0.0,0.0,0.0,0.5953777627150217,0.8855779528617859,0.6777999842166901,49.56656217575073
finetune,21,1.107712366382281,0.0,0.0,1.107712366382281,0.0,0.0,0.0,0.0,0.5953555408782429,0.8694910058379173,0.6841999852657318,49.91743326187134
finetune,22,1.1012712734275394,0.0,0.0,1.1012712734275394,0.0,0.0,0.0,0.0,0.5962444300784006,0.8882703948020935,0.6663999849557877,49.415032625198364
finetune,23,1.1071400368213653,0.0,0.0,1.1071400368213653,0.0,0.0,0.0,0.0,0.597199984855122,0.8640713703632354,0.678999988436699,49.599748373031616
finetune,24,1.0937297691239252,0.0,0.0,1.0937297691239252,0.0,0.0,0.0,0.0,0.6016222070654234,0.8747964155673981,0.6847999846935272,49.64074969291687
finetune,25,1.0896651530265808,0.0,0.0,1.0896651530265808,0.0,0.0,0.0,0.0,0.6004888745148976,0.8598981076478958,0.69059998691082,49.16068983078003
finetune,26,1.085746773812506,0.0,0.0,1.085746773812506,0.0,0.0,0.0,0.0,0.6038666525814268,0.8540381127595902,0.6955999851226806,49.534247159957886
finetune,27,1.081183705131213,0.0,0.0,1.081183705131213,0.0,0.0,0.0,0.0,0.6039999848604203,0.868854874074459,0.68059998691082,49.57168483734131
finetune,28,1.0891431524356205,0.0,0.0,1.0891431524356205,0.0,0.0,0.0,0.0,0.6024888735016187,0.8679981696605682,0.6795999878644943,49.445297718048096
finetune,29,1.0917938972181744,0.0,0.0,1.0917938972181744,0.0,0.0,0.0,0.0,0.6000666509734259,0.8677346819639206,0.6807999861240387,49.26813745498657
finetune,30,1.0794550606939528,0.0,0.0,1.0794550606939528,0.0,0.0,0.0,0.0,0.6045555399854978,0.8618656092882157,0.6859999883174897,49.6164653301239
