phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
bayesian_train,1,0.12724919598083942,4874.320059678819,4982018173.155556,0.12724919598083942,0.0,0.0,0.0,0.0,0.9674221994479497,0.003460036008618772,1.0,86.9260036945343
bayesian_train,2,0.12668852623345123,4852.402258572049,4981858648.746667,4.979091016981337,0.001,0.0,0.0,0.0,0.9657333111100727,0.003308506787288934,1.0,70.61777973175049
bayesian_train,3,0.1325664642266929,4782.078644748264,4981247655.253333,9.696724190182156,0.002,0.0,0.0,0.0,0.9621999782323837,0.003637150377035141,0.9997999995946885,70.84123468399048
bayesian_train,4,0.14255950644664053,4656.413407118055,4979998672.213333,14.111799844106038,0.003,0.0,0.0,0.0,0.9576888669861687,0.004399537579156458,0.9995999991893768,70.43895125389099
bayesian_train,5,0.15922977625599338,4479.886000976562,4977994439.111111,18.078774598439534,0.004,0.0,0.0,0.0,0.9506666451692581,0.005605134489014745,0.9991999983787536,70.48216819763184
bayesian_train,6,0.1729036397755974,4251.045054253472,4974983175.3955555,21.428128445943198,0.005,0.0,0.0,0.0,0.9447999773422877,0.009476985291112214,0.9981999963521957,70.35742712020874
bayesian_train,7,0.18221591066983012,3987.313891059028,4970907189.475555,24.106099461449517,0.006,0.0,0.0,0.0,0.942644421921836,0.010689384520519525,0.9971999955177308,70.86374354362488
bayesian_train,8,0.19194969742144977,3717.3393221028646,4965970942.293333,26.213325748443605,0.006999999999999999,0.0,0.0,0.0,0.9389999775091807,0.01046006528660655,0.9977999955415726,69.98496508598328
bayesian_train,9,0.195174987387533,3448.05998046875,4960155209.955556,27.779656153784856,0.008,0.0,0.0,0.0,0.9377555326620738,0.013672096184454858,0.9963999938964844,70.84553861618042
bayesian_train,10,0.20658932405006555,3175.283128797743,4953185971.768888,28.784136299557154,0.009000000000000001,0.0,0.0,0.0,0.9326666443215477,0.015514524388127029,0.9963999938964844,70.64880871772766
bayesian_train,11,0.21821610981184575,2905.3620871310764,4944984117.475555,29.2718363126119,0.01,0.0,0.0,0.0,0.9294221991300583,0.01676541394321248,0.9967999941110611,70.4118185043335
