phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,1.1492088507281408,0.0,0.0,1.1492088507281408,0.0,0.0,0.0,0.0,0.6198222075899442,0.6717908462882042,0.7557999843358993,50.912766218185425
finetune,2,0.8324057686328888,0.0,0.0,0.8324057686328888,0.0,0.0,0.0,0.0,0.7042666516370244,0.5398849213123321,0.8127999782562256,49.63542628288269
finetune,3,0.7211287420656946,0.0,0.0,0.7211287420656946,0.0,0.0,0.0,0.0,0.7562888706392712,0.4697155378758907,0.8503999757766724,49.736992835998535
finetune,4,0.6603601143757503,0.0,0.0,0.6603601143757503,0.0,0.0,0.0,0.0,0.7772444232304891,0.41312826678156855,0.8657999730110169,49.52571487426758
finetune,5,0.6270081291596095,0.0,0.0,0.6270081291596095,0.0,0.0,0.0,0.0,0.7897333127260208,0.3967167305201292,0.8675999784469605,49.167744398117065
finetune,6,0.5941049857106474,0.0,0.0,0.5941049857106474,0.0,0.0,0.0,0.0,0.8013333119948705,0.39625227242708205,0.8727999770641327,49.22025418281555
finetune,7,0.5671355508267879,0.0,0.0,0.5671355508267879,0.0,0.0,0.0,0.0,0.8103999767038558,0.36218819946050645,0.8853999763727188,49.93024921417236
finetune,8,0.5505073788762093,0.0,0.0,0.5505073788762093,0.0,0.0,0.0,0.0,0.8150666436221865,0.3447066752612591,0.8827999776601791,49.399221420288086
finetune,9,0.5371182102958362,0.0,0.0,0.5371182102958362,0.0,0.0,0.0,0.0,0.8199333096212811,0.3393779148161411,0.8931999772787094,49.346781730651855
finetune,10,0.5235262452397081,0.0,0.0,0.5235262452397081,0.0,0.0,0.0,0.0,0.8237777541743384,0.34990065947175025,0.8851999747753143,49.37981152534485
finetune,11,0.5024667220314344,0.0,0.0,0.5024667220314344,0.0,0.0,0.0,0.0,0.8316444206237793,0.315434510782361,0.8993999725580215,49.577571392059326
finetune,12,0.5001736812624666,0.0,0.0,0.5001736812624666,0.0,0.0,0.0,0.0,0.8320666425095664,0.3149756646156311,0.8953999787569046,49.42779898643494
finetune,13,0.4831255494306485,0.0,0.0,0.4831255494306485,0.0,0.0,0.0,0.0,0.838444419172075,0.30773009933531287,0.9019999766349792,49.04491066932678
finetune,14,0.4810355537301964,0.0,0.0,0.4810355537301964,0.0,0.0,0.0,0.0,0.8400888638363944,0.2992341250181198,0.905399979352951,49.335326194763184
finetune,15,0.4724478212826782,0.0,0.0,0.4724478212826782,0.0,0.0,0.0,0.0,0.8413110870785183,0.2892374124377966,0.9037999790906907,49.701162576675415
finetune,16,0.45738787454035545,0.0,0.0,0.45738787454035545,0.0,0.0,0.0,0.0,0.84679997490512,0.29559785209596157,0.9071999788284302,49.37678289413452
finetune,17,0.4579921473066012,0.0,0.0,0.4579921473066012,0.0,0.0,0.0,0.0,0.8479110861486859,0.29333874583244324,0.9065999752283096,49.70815920829773
finetune,18,0.4521619798656967,0.0,0.0,0.4521619798656967,0.0,0.0,0.0,0.0,0.8493777526749505,0.2862075687944889,0.9087999749183655,49.52507281303406
finetune,19,0.44161664296355513,0.0,0.0,0.44161664296355513,0.0,0.0,0.0,0.0,0.8518666417731179,0.28189393222332,0.9085999745130539,49.30503749847412
finetune,20,0.42751903884112835,0.0,0.0,0.42751903884112835,0.0,0.0,0.0,0.0,0.8556444204515881,0.29515855591744183,0.9059999769926071,49.73383975028992
finetune,21,0.4276571823325422,0.0,0.0,0.4276571823325422,0.0,0.0,0.0,0.0,0.8577333081430859,0.27240385599434375,0.9125999742746354,49.49932909011841
finetune,22,0.42599930573668743,0.0,0.0,0.42599930573668743,0.0,0.0,0.0,0.0,0.8571333083179262,0.2795310819894075,0.9091999751329422,49.5652871131897
finetune,23,0.42275637241701286,0.0,0.0,0.42275637241701286,0.0,0.0,0.0,0.0,0.8583555310964585,0.28562055960297583,0.9089999777078629,49.23717164993286
finetune,24,0.4172507430530257,0.0,0.0,0.4172507430530257,0.0,0.0,0.0,0.0,0.860622197257148,0.27772505607455966,0.912399976849556,49.70446419715881
finetune,25,0.4123869312637382,0.0,0.0,0.4123869312637382,0.0,0.0,0.0,0.0,0.8639777533875571,0.27713455449789764,0.9105999749898911,49.32255697250366
finetune,26,0.41058717221849494,0.0,0.0,0.41058717221849494,0.0,0.0,0.0,0.0,0.8617110861010021,0.2714322868734598,0.9097999775409699,49.0339617729187
finetune,27,0.4069959318058358,0.0,0.0,0.4069959318058358,0.0,0.0,0.0,0.0,0.8653333086437649,0.2709615355730057,0.9119999754428864,50.663989305496216
finetune,28,0.4081329240732723,0.0,0.0,0.4081329240732723,0.0,0.0,0.0,0.0,0.8617555304368337,0.2705953732132912,0.9135999780893326,49.22452116012573
finetune,29,0.4121506788664394,0.0,0.0,0.4121506788664394,0.0,0.0,0.0,0.0,0.8626444192065132,0.2678998451679945,0.9167999762296677,49.1233115196228
finetune,30,0.4082250311391221,0.0,0.0,0.4082250311391221,0.0,0.0,0.0,0.0,0.8639333088530434,0.2619206037372351,0.916199975013733,49.595444440841675
