sampler,trial,dpap_train_epochs,dpap_ema_decay,dpap_survival_decay,dpap_lr,val_accuracy,pruning_percentage,objective_value
random,0,50,0.9891921469755733,0.0731993941811405,0.0006009974718380314,0.2064453125,98.49369415862981,0.2064453125
random,1,32,0.8310429095469044,0.005808361216819946,0.0013394334706750498,0.2068359375,98.49369415862981,0.2068359375
random,2,68,0.9409064429814131,0.0020584494295802446,0.0018276027831785732,0.21875,98.49369415862981,0.21875
random,3,87,0.842255483024977,0.018182496720710064,0.00017322667470546282,0.19765625,98.49369415862981,0.19765625
random,4,44,0.9044265298948153,0.04319450186421158,0.00023927528765580657,0.201171875,98.49369415862981,0.201171875
random,5,69,0.8277592782697564,0.029214464853521818,0.000299673090971016,0.2064453125,98.49369415862981,0.2064453125
random,6,56,0.9562500163172097,0.019967378215835975,0.00046669637672369234,0.218359375,98.49369415862981,0.218359375
random,7,67,0.8092436321312796,0.06075448519014384,0.0001666698328606644,0.2076171875,98.49369415862981,0.2076171875
random,8,25,0.9888282219134134,0.09656320330745594,0.0011265466963346032,0.21875,98.49369415862981,0.21875
random,9,44,0.8194367506872704,0.0684233026512157,0.0003738105868191798,0.2064453125,98.49369415862981,0.2064453125
random,10,29,0.8985402051121428,0.0034388521115218396,0.0015242391728466382,0.2224609375,98.49369415862981,0.2224609375
random,11,40,0.9318419345864424,0.031171107608941095,0.0004749239763680409,0.221484375,98.49369415862981,0.221484375
random,12,64,0.83678603664958,0.09695846277645587,0.0010196967939171493,0.2056640625,98.49369415862981,0.2056640625
random,13,96,0.9780706427351021,0.05978999788110852,0.001582654190464757,0.225390625,98.49369415862981,0.225390625
random,14,27,0.8390005896214099,0.004522728891053806,0.0002650113770745899,0.194921875,98.49369415862981,0.194921875
