sampler,trial,total_epochs,sca_num_cycles,sca_lr,val_accuracy,pruning_percentage,objective_value
cmaes,0,50,10,0.0008960785365368125,0.2169921875,98.49369415862981,0.2169921875
cmaes,1,41,5,0.0004071992399396869,0.1802734375,98.49369415862981,0.1802734375
cmaes,2,42,5,0.00043339384562825244,0.1841796875,98.49369415862981,0.1841796875
cmaes,3,59,7,0.0008433556100192173,0.1921875,98.49369415862981,0.1921875
cmaes,4,53,7,0.00010451606700537046,0.1900390625,98.49369415862981,0.1900390625
cmaes,5,78,5,0.0006943814070215697,0.19609375,98.49369415862981,0.19609375
cmaes,6,57,5,0.0007775904439948553,0.2146484375,98.49369415862981,0.2146484375
cmaes,7,49,5,0.000692758919515868,0.2005859375,98.49369415862981,0.2005859375
cmaes,8,75,5,0.00036867571409344454,0.2232421875,98.49369415862981,0.2232421875
cmaes,9,64,5,0.0007253897814234949,0.2060546875,98.49369415862981,0.2060546875
cmaes,10,63,5,0.00045384245064662194,0.231640625,98.49369415862981,0.231640625
cmaes,11,46,5,0.0009633171949039593,0.2140625,98.49369415862981,0.2140625
cmaes,12,52,5,0.0005828101268275011,0.21796875,98.49369415862981,0.21796875
cmaes,13,70,3,0.001099454007109147,0.1908203125,98.49369415862981,0.1908203125
cmaes,14,30,7,0.000456681843840193,0.2029296875,98.49369415862981,0.2029296875
