layer,channel,ablation_delta,log_alpha
conv_layers.0,0,0.00996359996497631,2.0989553928375244
conv_layers.0,1,0.07736916840076447,2.057310104370117
conv_layers.0,2,0.06199725717306137,2.0291805267333984
conv_layers.0,3,0.0008114378433674574,2.102700710296631
conv_layers.0,4,-0.004584118258208036,2.1216676235198975
conv_layers.0,5,-0.01228790171444416,2.1042232513427734
conv_layers.0,6,-0.010846653021872044,2.1114046573638916
conv_layers.0,7,0.010491996072232723,2.08184552192688
conv_layers.0,8,0.001340730581432581,2.0198659896850586
conv_layers.0,9,0.03155239298939705,2.0157179832458496
conv_layers.0,10,0.016608837991952896,2.038654327392578
conv_layers.0,11,0.04034779220819473,2.0575826168060303
conv_layers.0,12,-0.004402672406286001,2.086958408355713
conv_layers.0,13,0.0026052691973745823,2.0616981983184814
conv_layers.0,14,0.018018489703536034,2.0913262367248535
conv_layers.0,15,0.0014914674684405327,2.0699095726013184
conv_layers.0,16,0.04652628302574158,2.0885233879089355
conv_layers.0,17,0.0017318231984972954,2.054502487182617
conv_layers.0,18,-0.014663148671388626,2.0913825035095215
conv_layers.0,19,0.006794112268835306,2.107841968536377
conv_layers.0,20,0.09848523139953613,2.012606382369995
conv_layers.0,21,-0.010671542957425117,2.0801315307617188
conv_layers.0,22,0.184467613697052,2.024231433868408
conv_layers.0,23,0.0003115120343863964,2.119344711303711
conv_layers.0,24,0.17425069212913513,2.000840902328491
conv_layers.0,25,-0.016817251220345497,2.1043787002563477
conv_layers.0,26,0.1467771679162979,2.0675337314605713
conv_layers.0,27,0.012305589392781258,2.1019320487976074
conv_layers.0,28,0.001132231205701828,2.059521436691284
conv_layers.0,29,-0.001536632888019085,2.0846967697143555
conv_layers.0,30,0.01871437206864357,2.0830440521240234
conv_layers.0,31,0.015509948134422302,1.9904756546020508
conv_layers.0,32,-0.004438847303390503,2.08333683013916
conv_layers.0,33,0.07147011905908585,2.0895278453826904
conv_layers.0,34,0.0002466072328388691,2.0781116485595703
conv_layers.0,35,0.005735677666962147,2.077209949493408
conv_layers.0,36,0.1576603502035141,1.9843274354934692
conv_layers.0,37,-0.010057659819722176,2.0917739868164062
conv_layers.0,38,0.02763373591005802,2.0542044639587402
conv_layers.0,39,0.0059019774198532104,2.096745014190674
conv_layers.0,40,0.08483116328716278,2.007037401199341
conv_layers.0,41,0.030579296872019768,2.070068597793579
conv_layers.0,42,0.031788624823093414,2.0478923320770264
conv_layers.0,43,0.07690932601690292,1.9865425825119019
conv_layers.0,44,0.03709464892745018,1.983521580696106
conv_layers.0,45,-0.017707008868455887,2.105790138244629
conv_layers.0,46,0.1959490329027176,2.026435136795044
conv_layers.0,47,-0.009725655429065228,2.0630581378936768
conv_layers.0,48,-0.0027533844113349915,2.102799892425537
conv_layers.0,49,0.031202014535665512,2.050128698348999
conv_layers.0,50,-0.010058268904685974,2.0757498741149902
conv_layers.0,51,0.0218423493206501,2.11899733543396
conv_layers.0,52,0.015673618763685226,2.108123540878296
conv_layers.0,53,-0.01564865931868553,2.0676772594451904
conv_layers.0,54,0.0213751420378685,2.1145966053009033
conv_layers.0,55,-0.0023619390558451414,2.0073108673095703
conv_layers.0,56,-0.00036876602098345757,2.1006383895874023
conv_layers.0,57,0.2604004740715027,1.9592357873916626
conv_layers.0,58,-0.002131323330104351,2.111406087875366
conv_layers.0,59,0.019503852352499962,2.1180851459503174
conv_layers.0,60,0.04487023502588272,2.0080649852752686
conv_layers.0,61,0.006393031682819128,2.090873956680298
conv_layers.0,62,0.1319454312324524,1.9476845264434814
conv_layers.0,63,0.014178446494042873,2.1195693016052246
conv_layers.1,0,0.07436251640319824,1.9911106824874878
conv_layers.1,1,0.01010989397764206,2.0214734077453613
conv_layers.1,2,0.03522379696369171,2.027005910873413
conv_layers.1,3,0.038906462490558624,2.018861770629883
conv_layers.1,4,0.027292512357234955,1.9652659893035889
conv_layers.1,5,0.00642791111022234,2.000030517578125
conv_layers.1,6,-0.004000533372163773,2.0416009426116943
conv_layers.1,7,0.0012655043974518776,2.0082223415374756
conv_layers.1,8,0.02272050827741623,2.016871213912964
conv_layers.1,9,0.039932917803525925,2.0160069465637207
conv_layers.1,10,0.024713460355997086,2.031660318374634
conv_layers.1,11,-0.004262212663888931,1.9646577835083008
conv_layers.1,12,0.032136157155036926,2.0229785442352295
conv_layers.1,13,0.03303222358226776,1.975138545036316
conv_layers.1,14,0.0008614833932369947,1.9816304445266724
conv_layers.1,15,0.024890566244721413,2.000253200531006
conv_layers.1,16,0.016635678708553314,2.029463529586792
conv_layers.1,17,0.05662576109170914,1.9763402938842773
conv_layers.1,18,0.02720119059085846,2.054262161254883
conv_layers.1,19,0.12224672734737396,1.9376720190048218
conv_layers.1,20,0.1042996272444725,1.9951062202453613
conv_layers.1,21,0.08406087011098862,1.9043842554092407
conv_layers.1,22,0.02824842743575573,2.0218372344970703
conv_layers.1,23,0.01746121048927307,2.007828712463379
conv_layers.1,24,0.009055683389306068,2.0399017333984375
conv_layers.1,25,0.01528369914740324,2.038010597229004
conv_layers.1,26,0.0187261700630188,1.9584919214248657
conv_layers.1,27,0.03500506281852722,2.019622802734375
conv_layers.1,28,0.03008539229631424,2.0154192447662354
conv_layers.1,29,0.02460738644003868,2.0150527954101562
conv_layers.1,30,0.019498726353049278,1.988211750984192
conv_layers.1,31,-0.009883720427751541,2.04315447807312
conv_layers.1,32,0.02356128767132759,2.0086376667022705
conv_layers.1,33,0.038218602538108826,1.9604355096817017
conv_layers.1,34,0.04102146625518799,2.021015167236328
conv_layers.1,35,-0.00027591781690716743,1.955944299697876
conv_layers.1,36,0.03308786079287529,1.998212218284607
conv_layers.1,37,0.04650785028934479,1.945914626121521
conv_layers.1,38,0.033774763345718384,2.0488834381103516
conv_layers.1,39,0.01370485220104456,2.034900426864624
conv_layers.1,40,0.14102622866630554,1.892338514328003
conv_layers.1,41,0.0553574338555336,2.003131866455078
conv_layers.1,42,0.02769341692328453,2.027451276779175
conv_layers.1,43,0.011460544541478157,2.0265467166900635
conv_layers.1,44,0.02989231050014496,1.9520882368087769
conv_layers.1,45,0.028213920071721077,1.9571342468261719
conv_layers.1,46,0.04062415659427643,2.0301475524902344
conv_layers.1,47,0.08548232913017273,1.967976689338684
conv_layers.1,48,0.028149882331490517,1.9815759658813477
conv_layers.1,49,0.05200106278061867,1.9498413801193237
conv_layers.1,50,0.0800374373793602,1.9779080152511597
conv_layers.1,51,0.038357675075531006,1.9756799936294556
conv_layers.1,52,0.015166851691901684,2.037043333053589
conv_layers.1,53,-0.015219571068882942,2.012561798095703
conv_layers.1,54,0.008829901926219463,2.002161741256714
conv_layers.1,55,-0.003233927534893155,1.9686301946640015
conv_layers.1,56,0.018933625891804695,1.9956985712051392
conv_layers.1,57,0.020091066136956215,2.006753444671631
conv_layers.1,58,0.007894666865468025,2.001478433609009
conv_layers.1,59,0.026293214410543442,1.9535439014434814
conv_layers.1,60,0.038368646055459976,1.984352707862854
conv_layers.1,61,0.011150814592838287,2.0042800903320312
conv_layers.1,62,0.004713105037808418,2.0434484481811523
conv_layers.1,63,0.02584223635494709,1.9800721406936646
conv_layers.2,0,6.890762597322464e-05,2.05417799949646
conv_layers.2,2,-0.003346808720380068,2.043679714202881
conv_layers.2,8,0.029977314174175262,2.0622658729553223
conv_layers.2,10,-0.006567526608705521,2.040264844894409
conv_layers.2,11,-0.006914376746863127,2.066929817199707
conv_layers.2,12,0.04024587944149971,2.0384809970855713
conv_layers.2,13,0.033817555755376816,2.051224708557129
conv_layers.2,14,0.016484668478369713,2.0545589923858643
conv_layers.2,15,-0.004660267382860184,2.041614532470703
conv_layers.2,18,-0.006549231242388487,2.037667989730835
conv_layers.2,22,0.006546465214341879,2.0526955127716064
conv_layers.2,23,0.02432280220091343,2.063490390777588
conv_layers.2,25,0.006511739455163479,1.9786194562911987
conv_layers.2,26,0.017014026641845703,2.043639898300171
conv_layers.2,30,0.04364569112658501,2.022833824157715
conv_layers.2,31,0.020148396492004395,2.0349552631378174
conv_layers.2,32,0.017720308154821396,2.0606801509857178
conv_layers.2,33,-0.002578086918219924,1.9901134967803955
conv_layers.2,35,0.01712958514690399,2.033050537109375
conv_layers.2,36,0.023911476135253906,2.0067853927612305
conv_layers.2,37,0.01227485854178667,2.038551092147827
conv_layers.2,38,0.01537814550101757,2.027871608734131
conv_layers.2,39,0.03224095702171326,2.0500853061676025
conv_layers.2,40,0.017040882259607315,2.0296623706817627
conv_layers.2,41,0.001580135663971305,1.976183295249939
conv_layers.2,44,0.02232489362359047,2.032172203063965
conv_layers.2,45,0.0272421482950449,2.055185317993164
conv_layers.2,47,0.019408006221055984,2.038254737854004
conv_layers.2,48,0.028401464223861694,2.0629327297210693
conv_layers.2,51,-0.00471604336053133,2.059048891067505
conv_layers.2,52,0.014913137070834637,2.0599939823150635
conv_layers.2,53,0.014658183790743351,2.031935214996338
conv_layers.2,63,0.010902147740125656,2.0719940662384033
conv_layers.2,65,-0.0028782840818166733,2.0505919456481934
conv_layers.2,66,0.023994747549295425,2.0346879959106445
conv_layers.2,67,0.01478949747979641,2.0428667068481445
conv_layers.2,68,-0.005134982988238335,2.050513505935669
conv_layers.2,69,0.01896969974040985,2.04508638381958
conv_layers.2,71,0.03546299785375595,2.03965425491333
conv_layers.2,72,0.03650160878896713,2.0478768348693848
conv_layers.2,74,0.005721960216760635,2.067826986312866
conv_layers.2,77,-0.01883971132338047,2.019498109817505
conv_layers.2,79,-0.03442281857132912,2.048943281173706
conv_layers.2,84,0.030998170375823975,2.0413718223571777
conv_layers.2,92,0.03561107814311981,2.0534565448760986
conv_layers.2,94,0.03864487260580063,2.021380662918091
conv_layers.2,98,0.016059717163443565,2.052232027053833
conv_layers.2,99,0.03761456161737442,2.0117380619049072
conv_layers.2,101,0.0021379031240940094,2.026658058166504
conv_layers.2,104,0.03699610382318497,2.0388081073760986
conv_layers.2,105,0.019765939563512802,2.032196521759033
conv_layers.2,107,0.009150829166173935,2.0695443153381348
conv_layers.2,109,0.020902322605252266,2.0349085330963135
conv_layers.2,110,0.02556932345032692,2.0028605461120605
conv_layers.2,114,0.005190300289541483,2.061870813369751
conv_layers.2,115,0.026950709521770477,2.0394487380981445
conv_layers.2,116,0.021053336560726166,2.0361273288726807
conv_layers.2,118,0.019829154014587402,2.036548614501953
conv_layers.2,120,0.024313567206263542,2.026279926300049
conv_layers.2,121,0.005472828634083271,2.0301709175109863
conv_layers.2,123,0.010029967874288559,2.0277652740478516
conv_layers.2,125,0.01179785281419754,2.0573055744171143
conv_layers.2,126,0.001245532650500536,2.0447330474853516
conv_layers.2,127,0.031681355088949203,2.011012315750122
conv_layers.3,1,0.023699451237916946,1.9988397359848022
