phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,2.5907402058951874,0.0,0.0,2.5907402058951874,0.0,0.0,0.0,0.0,0.10145121082621082,2.389381021261215,0.0919921875,18.322566270828247
finetune,2,1.8637378113901513,0.0,0.0,1.8637378113901513,0.0,0.0,0.0,0.0,0.25084579772079774,1.5747941881418228,0.36015625,17.068217515945435
finetune,3,1.1481667998169902,0.0,0.0,1.1481667998169902,0.0,0.0,0.0,0.0,0.5659499643874644,0.7241956058889627,0.7564453125,17.096694231033325
finetune,4,0.6146567828125424,0.0,0.0,0.6146567828125424,0.0,0.0,0.0,0.0,0.8028178418803419,0.5511934941634535,0.8205078125,17.1281840801239
finetune,5,0.5144008621361181,0.0,0.0,0.5144008621361181,0.0,0.0,0.0,0.0,0.8358929843304843,0.5365556739270687,0.829296875,17.152260065078735
finetune,6,0.4616826945050829,0.0,0.0,0.4616826945050829,0.0,0.0,0.0,0.0,0.8539218304843305,0.47109024338424205,0.846484375,17.193547010421753
finetune,7,0.45136317890933436,0.0,0.0,0.45136317890933436,0.0,0.0,0.0,0.0,0.8572605056980057,0.4641590628772974,0.849609375,17.145682096481323
finetune,8,0.44246138063421275,0.0,0.0,0.44246138063421275,0.0,0.0,0.0,0.0,0.8625801282051282,0.43743779268115757,0.8572265625,17.250354766845703
finetune,9,0.4606197224213527,0.0,0.0,0.4606197224213527,0.0,0.0,0.0,0.0,0.8553240740740741,0.5182508692145348,0.8296875,16.988518953323364
finetune,10,0.4562599855950076,0.0,0.0,0.4562599855950076,0.0,0.0,0.0,0.0,0.8554353632478633,0.6311919748783111,0.8119140625,17.049193859100342
finetune,11,0.47289358601610887,0.0,0.0,0.47289358601610887,0.0,0.0,0.0,0.0,0.8489360754985755,0.5017023615539074,0.8427734375,17.07838010787964
finetune,12,0.43771849861342005,0.0,0.0,0.43771849861342005,0.0,0.0,0.0,0.0,0.8612891737891738,0.45105988085269927,0.858984375,17.023208141326904
finetune,13,0.413470609829976,0.0,0.0,0.413470609829976,0.0,0.0,0.0,0.0,0.8697471509971509,0.43276104759424927,0.859375,16.989386081695557
finetune,14,0.39122994940335254,0.0,0.0,0.39122994940335254,0.0,0.0,0.0,0.0,0.8748664529914529,0.46176506076008084,0.8591796875,17.139586448669434
finetune,15,0.368296788501264,0.0,0.0,0.368296788501264,0.0,0.0,0.0,0.0,0.8802083333333334,0.43001768831163645,0.8576171875,16.96724796295166
finetune,16,0.34551114990161014,0.0,0.0,0.34551114990161014,0.0,0.0,0.0,0.0,0.8889334045584045,0.3666503995656967,0.88203125,17.069302797317505
finetune,17,0.31997687308027534,0.0,0.0,0.31997687308027534,0.0,0.0,0.0,0.0,0.896011396011396,0.36333316331729293,0.8861328125,17.099390506744385
finetune,18,0.30182036940019014,0.0,0.0,0.30182036940019014,0.0,0.0,0.0,0.0,0.9017761752136753,0.3609692119061947,0.8869140625,17.072343111038208
finetune,19,0.27355759851952904,0.0,0.0,0.27355759851952904,0.0,0.0,0.0,0.0,0.9098780270655271,0.40355024877935647,0.8703125,17.13097095489502
finetune,20,0.25144763864003694,0.0,0.0,0.25144763864003694,0.0,0.0,0.0,0.0,0.9173789173789174,0.34519713595509527,0.890234375,17.05299973487854
finetune,21,0.23723648297481048,0.0,0.0,0.23723648297481048,0.0,0.0,0.0,0.0,0.9217637108262108,0.3409144000150263,0.891796875,17.09258270263672
finetune,22,0.21530747576019701,0.0,0.0,0.21530747576019701,0.0,0.0,0.0,0.0,0.9280849358974359,0.3017250053584576,0.89921875,17.119442224502563
finetune,23,0.19330855986458964,0.0,0.0,0.19330855986458964,0.0,0.0,0.0,0.0,0.9362535612535613,0.3057524558156729,0.894140625,17.06569218635559
finetune,24,0.17405001353207136,0.0,0.0,0.17405001353207136,0.0,0.0,0.0,0.0,0.9405048076923077,0.27219423912465573,0.914453125,16.999518394470215
finetune,25,0.16104483805023706,0.0,0.0,0.16104483805023706,0.0,0.0,0.0,0.0,0.9471599002849003,0.29402522700838746,0.906640625,17.174000024795532
finetune,26,0.1462558515454799,0.0,0.0,0.1462558515454799,0.0,0.0,0.0,0.0,0.9518785612535613,0.27613617619499564,0.916796875,17.042033910751343
finetune,27,0.1420546985971622,0.0,0.0,0.1420546985971622,0.0,0.0,0.0,0.0,0.9515446937321937,0.26857686983421447,0.9134765625,17.10136651992798
finetune,28,0.13500282593984209,0.0,0.0,0.13500282593984209,0.0,0.0,0.0,0.0,0.9541488603988604,0.27258721250109375,0.914453125,17.08963680267334
finetune,29,0.12702957342811289,0.0,0.0,0.12702957342811289,0.0,0.0,0.0,0.0,0.9569756054131054,0.2633395118289627,0.91796875,17.050793647766113
finetune,30,0.1296411510291602,0.0,0.0,0.1296411510291602,0.0,0.0,0.0,0.0,0.9564859330484331,0.2563241174444556,0.9166015625,17.157511711120605
