layer,total,remaining,pruned,structurally_prunable,median_log_alpha
conv_layers.0,64,30,34,True,2.077209949493408
conv_layers.1,64,64,0,True,2.002161741256714
conv_layers.2,128,126,2,True,2.041614532470703
conv_layers.3,128,128,0,True,2.011636257171631
conv_layers.4,256,231,25,True,2.0551650524139404
conv_layers.5,256,166,90,True,2.065544366836548
conv_layers.6,256,85,171,True,2.076936960220337
conv_layers.7,512,3,509,True,2.125295639038086
conv_layers.8,512,1,511,True,2.1446685791015625
conv_layers.9,512,1,511,True,2.14874267578125
conv_layers.10,512,1,511,True,2.1546499729156494
conv_layers.11,512,1,511,True,2.1622748374938965
conv_layers.12,512,34,478,True,2.1418943405151367
