phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,2.6217005164534957,0.0,0.0,2.6217005164534957,0.0,0.0,0.0,0.0,0.10062767094017094,2.451933944225311,0.0919921875,18.901676416397095
finetune,2,2.1146544965244085,0.0,0.0,2.1146544965244085,0.0,0.0,0.0,0.0,0.1778846153846154,1.9818758010864257,0.19921875,16.45472264289856
finetune,3,1.9381054021694042,0.0,0.0,1.9381054021694042,0.0,0.0,0.0,0.0,0.22064191595441596,1.8685761839151382,0.2486328125,16.49980640411377
finetune,4,1.8111134974705188,0.0,0.0,1.8111134974705188,0.0,0.0,0.0,0.0,0.27577457264957267,1.6825132340192794,0.3400390625,16.62417435646057
finetune,5,1.6035846200084414,0.0,0.0,1.6035846200084414,0.0,0.0,0.0,0.0,0.35657051282051283,1.5066380947828293,0.4044921875,16.502154111862183
finetune,6,1.457618627453122,0.0,0.0,1.457618627453122,0.0,0.0,0.0,0.0,0.42528044871794873,1.432689556479454,0.4552734375,16.63592767715454
finetune,7,1.216938512277739,0.0,0.0,1.216938512277739,0.0,0.0,0.0,0.0,0.5289129273504274,1.129347325861454,0.5861328125,16.491309642791748
finetune,8,1.1303392327748811,0.0,0.0,1.1303392327748811,0.0,0.0,0.0,0.0,0.5846910612535613,1.1861780911684037,0.5818359375,16.449032068252563
finetune,9,1.0904670456196168,0.0,0.0,1.0904670456196168,0.0,0.0,0.0,0.0,0.5930154914529915,1.0533446967601776,0.6080078125,16.496535539627075
finetune,10,1.0778522673155848,0.0,0.0,1.0778522673155848,0.0,0.0,0.0,0.0,0.6043224715099715,1.1249725729227067,0.565234375,16.48432230949402
finetune,11,1.0467703598856586,0.0,0.0,1.0467703598856586,0.0,0.0,0.0,0.0,0.6136485042735043,1.2433959513902664,0.5248046875,16.567829132080078
finetune,12,1.0528104933578404,0.0,0.0,1.0528104933578404,0.0,0.0,0.0,0.0,0.6246216168091168,1.3698962926864624,0.5169921875,16.37400722503662
finetune,13,1.0480698987289712,0.0,0.0,1.0480698987289712,0.0,0.0,0.0,0.0,0.6373308404558404,1.398353236913681,0.53359375,16.448899745941162
finetune,14,0.9603176286757162,0.0,0.0,0.9603176286757162,0.0,0.0,0.0,0.0,0.6795539529914529,1.0503204196691514,0.630078125,16.542749404907227
finetune,15,0.9113903200184857,0.0,0.0,0.9113903200184857,0.0,0.0,0.0,0.0,0.6946002492877493,0.941484934091568,0.69765625,16.573015451431274
finetune,16,0.864374066519941,0.0,0.0,0.864374066519941,0.0,0.0,0.0,0.0,0.7216880341880342,0.9831982269883156,0.7076171875,16.552043437957764
finetune,17,0.8669497729027034,0.0,0.0,0.8669497729027034,0.0,0.0,0.0,0.0,0.7157674501424501,0.9605763494968415,0.690234375,16.499845266342163
finetune,18,0.8779303239621328,0.0,0.0,0.8779303239621328,0.0,0.0,0.0,0.0,0.7093349358974359,1.0110656589269638,0.6607421875,16.507604360580444
finetune,19,0.8495104292519072,0.0,0.0,0.8495104292519072,0.0,0.0,0.0,0.0,0.7164351851851852,1.0046791970729827,0.660546875,16.620814561843872
finetune,20,0.8224135713699536,0.0,0.0,0.8224135713699536,0.0,0.0,0.0,0.0,0.7213986823361823,0.9036145865917206,0.6654296875,16.541109561920166
finetune,21,0.8027741204299818,0.0,0.0,0.8027741204299818,0.0,0.0,0.0,0.0,0.7290553774928775,0.8706486374139786,0.7224609375,16.547595977783203
finetune,22,0.758346581221306,0.0,0.0,0.758346581221306,0.0,0.0,0.0,0.0,0.7478855056980057,0.7566282577812672,0.75703125,16.595871686935425
finetune,23,0.7301820299224636,0.0,0.0,0.7301820299224636,0.0,0.0,0.0,0.0,0.7588808760683761,0.7618840612471104,0.77265625,16.521299839019775
finetune,24,0.7131292099966283,0.0,0.0,0.7131292099966283,0.0,0.0,0.0,0.0,0.7646233974358975,0.7437496621161699,0.775,16.639410734176636
finetune,25,0.7115685552613348,0.0,0.0,0.7115685552613348,0.0,0.0,0.0,0.0,0.7673611111111112,0.7446049004793167,0.76875,16.461333513259888
finetune,26,0.7092628020506638,0.0,0.0,0.7092628020506638,0.0,0.0,0.0,0.0,0.7667824074074074,0.7563440337777138,0.7705078125,16.59369707107544
finetune,27,0.7020616519485104,0.0,0.0,0.7020616519485104,0.0,0.0,0.0,0.0,0.7692975427350427,0.7396634802222252,0.760546875,16.491660594940186
finetune,28,0.7027169226581215,0.0,0.0,0.7027169226581215,0.0,0.0,0.0,0.0,0.7690972222222222,0.7472562730312348,0.7599609375,16.55636477470398
finetune,29,0.7084156449703749,0.0,0.0,0.7084156449703749,0.0,0.0,0.0,0.0,0.765625,0.7592356279492378,0.7521484375,16.63407063484192
finetune,30,0.7058360457759977,0.0,0.0,0.7058360457759977,0.0,0.0,0.0,0.0,0.7664040242165242,0.7533385269343853,0.759765625,16.571570873260498
