layer,channel,ablation_delta,log_alpha
stage1.0.conv1,0,-0.003619885304942727,2.061782121658325
stage1.0.conv1,1,-0.01122921984642744,1.9674744606018066
stage1.0.conv1,2,-0.006744049023836851,1.9566569328308105
stage1.0.conv1,3,-0.009404383599758148,1.977750539779663
stage1.0.conv1,4,0.005981566850095987,2.0012829303741455
stage1.0.conv1,5,-0.013101702556014061,2.069859266281128
stage1.0.conv1,6,-0.00834919698536396,2.0319440364837646
stage1.0.conv1,7,-0.00348218553699553,2.058041572570801
stage1.0.conv1,8,-0.0016668610041961074,2.022629976272583
stage1.0.conv1,9,-0.004108766093850136,2.0404880046844482
stage1.0.conv1,10,-0.009356043301522732,1.9910533428192139
stage1.0.conv1,11,-0.0009335677023045719,2.0647315979003906
stage1.0.conv1,12,0.012592187151312828,2.0064611434936523
stage1.0.conv1,13,0.009807728230953217,1.9429272413253784
stage1.0.conv1,14,-0.005827445071190596,2.018322706222534
stage1.0.conv1,15,0.003469655755907297,1.957628846168518
stage1.0.conv1,16,-0.0032095955684781075,2.0479671955108643
stage1.0.conv1,17,0.016268528997898102,1.9429922103881836
stage1.0.conv1,18,-0.008156979456543922,2.0498108863830566
stage1.0.conv1,19,-0.0030944065656512976,1.9935574531555176
stage1.0.conv1,20,-0.009457976557314396,2.038006067276001
stage1.0.conv1,21,-0.007245450280606747,1.9583103656768799
stage1.0.conv1,22,0.00513580022379756,2.050232172012329
stage1.0.conv1,23,0.00962674431502819,1.9995359182357788
stage1.0.conv1,24,-0.002195271197706461,2.0743987560272217
stage1.0.conv1,25,-0.007206783164292574,2.0405819416046143
stage1.0.conv1,26,0.013526632450520992,2.0257980823516846
stage1.0.conv1,27,-0.010151790454983711,2.0522539615631104
stage1.0.conv1,28,-0.004425740800797939,1.9889576435089111
stage1.0.conv1,29,0.010313856415450573,2.0467703342437744
stage1.0.conv1,30,0.02898084931075573,1.9920618534088135
stage1.0.conv1,31,-0.004226524382829666,2.065518856048584
stage1.0.conv1,32,-0.0013355858391150832,2.067519426345825
stage1.0.conv1,33,0.0021357054356485605,2.020766019821167
stage1.0.conv1,34,0.02426578849554062,1.9476081132888794
stage1.0.conv1,35,0.008032172918319702,2.0204803943634033
stage1.0.conv1,36,0.019809195771813393,1.9816516637802124
stage1.0.conv1,37,-0.009764129295945168,1.9973251819610596
stage1.0.conv1,38,0.0016921833157539368,2.013955593109131
stage1.0.conv1,39,-0.0025929282419383526,2.041938543319702
stage1.0.conv1,40,-0.012454110197722912,2.0440621376037598
stage1.0.conv1,41,-0.013186454772949219,2.053068161010742
stage1.0.conv1,42,-0.004188149236142635,2.01263689994812
stage1.0.conv1,43,0.008474701084196568,1.9815751314163208
stage1.0.conv1,44,0.0019873282872140408,2.003201961517334
stage1.0.conv1,45,-0.004055837169289589,2.022355556488037
stage1.0.conv1,46,-0.011500803753733635,1.9953069686889648
