phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,1.3563022728998777,0.0,0.0,1.3563022728998777,0.0,0.0,0.0,0.0,0.5527733262108262,1.242217019200325,0.561328125,32.066476345062256
finetune,2,0.48441385946891924,0.0,0.0,0.48441385946891924,0.0,0.0,0.0,0.0,0.8415019586894587,0.3637308653444052,0.8857421875,26.61539936065674
finetune,3,0.2930251626759513,0.0,0.0,0.2930251626759513,0.0,0.0,0.0,0.0,0.9011084401709402,0.3067358139902353,0.8998046875,26.75771164894104
finetune,4,0.23377864954308566,0.0,0.0,0.23377864954308566,0.0,0.0,0.0,0.0,0.9223869301994302,0.24739522375166417,0.9181640625,27.09145474433899
finetune,5,0.2156902830357905,0.0,0.0,0.2156902830357905,0.0,0.0,0.0,0.0,0.9255920584045584,0.2635840855306014,0.9103515625,27.149574518203735
finetune,6,0.2121982749795642,0.0,0.0,0.2121982749795642,0.0,0.0,0.0,0.0,0.9275952635327636,0.2644109112210572,0.91171875,27.1041259765625
finetune,7,0.2082276748137766,0.0,0.0,0.2082276748137766,0.0,0.0,0.0,0.0,0.9281517094017094,0.26062133638188245,0.914453125,27.059616088867188
finetune,8,0.2209447281397985,0.0,0.0,0.2209447281397985,0.0,0.0,0.0,0.0,0.9256143162393162,0.28526562261395155,0.90078125,27.14174795150757
finetune,9,0.22921456640687085,0.0,0.0,0.22921456640687085,0.0,0.0,0.0,0.0,0.9215856481481481,0.30833667516708374,0.8955078125,27.113654613494873
finetune,10,0.23767926747727597,0.0,0.0,0.23767926747727597,0.0,0.0,0.0,0.0,0.9184918091168092,0.31769478661008177,0.898828125,27.082882165908813
finetune,11,0.2535767592595853,0.0,0.0,0.2535767592595853,0.0,0.0,0.0,0.0,0.9140847578347578,0.36775030102580786,0.8779296875,26.976134061813354
finetune,12,0.2376429402293303,0.0,0.0,0.2376429402293303,0.0,0.0,0.0,0.0,0.9185140669515669,0.37699802219867706,0.86953125,27.139620065689087
finetune,13,0.22597773205435853,0.0,0.0,0.22597773205435853,0.0,0.0,0.0,0.0,0.9231882122507122,0.3456206755246967,0.8822265625,27.034279346466064
finetune,14,0.22038650676141097,0.0,0.0,0.22038650676141097,0.0,0.0,0.0,0.0,0.9252136752136753,0.28872338719666,0.901953125,26.689905166625977
finetune,15,0.20668884054717854,0.0,0.0,0.20668884054717854,0.0,0.0,0.0,0.0,0.9285968660968661,0.3354177972767502,0.89375,26.78065299987793
finetune,16,0.1852011445623178,0.0,0.0,0.1852011445623178,0.0,0.0,0.0,0.0,0.9369880698005698,0.2955059685744345,0.9064453125,26.670862197875977
finetune,17,0.16619296301888603,0.0,0.0,0.16619296301888603,0.0,0.0,0.0,0.0,0.9410835113960114,0.30702014361013424,0.89921875,26.72414207458496
finetune,18,0.14816998693550754,0.0,0.0,0.14816998693550754,0.0,0.0,0.0,0.0,0.9475827991452992,0.26752223251387475,0.916796875,26.835001945495605
finetune,19,0.11839657605352395,0.0,0.0,0.11839657605352395,0.0,0.0,0.0,0.0,0.9582665598290598,0.2238756877486594,0.9240234375,26.63196110725403
finetune,20,0.10981449863722181,0.0,0.0,0.10981449863722181,0.0,0.0,0.0,0.0,0.9622952279202279,0.22282835713995156,0.92890625,26.942336797714233
finetune,21,0.09036926462970397,0.0,0.0,0.09036926462970397,0.0,0.0,0.0,0.0,0.967948717948718,0.2130379025998991,0.9361328125,26.55671501159668
finetune,22,0.07811562820441192,0.0,0.0,0.07811562820441192,0.0,0.0,0.0,0.0,0.9724225427350427,0.20770347266225145,0.9361328125,26.776791095733643
finetune,23,0.06609896710540494,0.0,0.0,0.06609896710540494,0.0,0.0,0.0,0.0,0.9766515313390314,0.19683806104876567,0.9384765625,26.951924562454224
finetune,24,0.05538954785852521,0.0,0.0,0.05538954785852521,0.0,0.0,0.0,0.0,0.981147613960114,0.1924933559843339,0.94296875,27.06346035003662
finetune,25,0.047538843878844696,0.0,0.0,0.047538843878844696,0.0,0.0,0.0,0.0,0.9836182336182336,0.19138202556423495,0.9419921875,26.74371600151062
finetune,26,0.042523382767567945,0.0,0.0,0.042523382767567945,0.0,0.0,0.0,0.0,0.984909188034188,0.18129107312997803,0.945703125,26.737443447113037
finetune,27,0.03795786231671303,0.0,0.0,0.03795786231671303,0.0,0.0,0.0,0.0,0.9871794871794872,0.19466726745740742,0.9453125,26.79084873199463
finetune,28,0.033860931957029126,0.0,0.0,0.033860931957029126,0.0,0.0,0.0,0.0,0.9886262464387464,0.1732486713808612,0.951171875,26.75532555580139
finetune,29,0.03374167563834166,0.0,0.0,0.03374167563834166,0.0,0.0,0.0,0.0,0.9891604344729344,0.18508822806270472,0.946875,26.791073083877563
finetune,30,0.03270548911953605,0.0,0.0,0.03270548911953605,0.0,0.0,0.0,0.0,0.9891159188034188,0.18788098210352472,0.9484375,26.888549327850342
