phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,1.3350299060174882,0.0,0.0,1.3350299060174882,0.0,0.0,0.0,0.0,0.5963764245014245,1.1139731466770173,0.66796875,32.14561152458191
finetune,2,0.49030166244574763,0.0,0.0,0.49030166244574763,0.0,0.0,0.0,0.0,0.8425035612535613,0.4083845816552639,0.86953125,26.51830291748047
finetune,3,0.29667779956108487,0.0,0.0,0.29667779956108487,0.0,0.0,0.0,0.0,0.9005297364672364,0.3107699554413557,0.89375,26.383983373641968
finetune,4,0.23530089156834827,0.0,0.0,0.23530089156834827,0.0,0.0,0.0,0.0,0.9188924501424501,0.2577773888595402,0.9177734375,26.732431888580322
finetune,5,0.22013573894049027,0.0,0.0,0.22013573894049027,0.0,0.0,0.0,0.0,0.9264823717948718,0.24908521439647302,0.917578125,26.49286723136902
finetune,6,0.20911037839121288,0.0,0.0,0.20911037839121288,0.0,0.0,0.0,0.0,0.9284855769230769,0.23332862723618747,0.9220703125,26.626927137374878
finetune,7,0.21004954687295815,0.0,0.0,0.21004954687295815,0.0,0.0,0.0,0.0,0.9269720441595442,0.2885428797453642,0.9037109375,26.42490315437317
finetune,8,0.22707670207461741,0.0,0.0,0.22707670207461741,0.0,0.0,0.0,0.0,0.9204504985754985,0.315648652240634,0.8953125,26.50410008430481
finetune,9,0.2445320498909366,0.0,0.0,0.2445320498909366,0.0,0.0,0.0,0.0,0.9151753917378918,0.3045808392576873,0.894921875,26.436009645462036
finetune,10,0.2541549321041148,0.0,0.0,0.2541549321041148,0.0,0.0,0.0,0.0,0.9128383190883191,0.3247198637574911,0.8953125,26.50329566001892
finetune,11,0.26597005381458505,0.0,0.0,0.26597005381458505,0.0,0.0,0.0,0.0,0.9096109330484331,0.28635226357728244,0.9017578125,26.52437734603882
finetune,12,0.2515957626140016,0.0,0.0,0.2515957626140016,0.0,0.0,0.0,0.0,0.9133947649572649,0.3151930835098028,0.8931640625,26.51485824584961
finetune,13,0.24263442876586888,0.0,0.0,0.24263442876586888,0.0,0.0,0.0,0.0,0.9174234330484331,0.4027534258784726,0.8693359375,26.513055562973022
finetune,14,0.2398014624106918,0.0,0.0,0.2398014624106918,0.0,0.0,0.0,0.0,0.9181134259259259,0.28504295405000446,0.8994140625,26.675426959991455
finetune,15,0.20588170461080693,0.0,0.0,0.20588170461080693,0.0,0.0,0.0,0.0,0.9298655626780626,0.27341107465908865,0.9056640625,26.535441160202026
finetune,16,0.1928304324929531,0.0,0.0,0.1928304324929531,0.0,0.0,0.0,0.0,0.9331152065527065,0.29830174720846114,0.8986328125,26.52485203742981
finetune,17,0.1694652609463431,0.0,0.0,0.1694652609463431,0.0,0.0,0.0,0.0,0.94181801994302,0.2465364161878824,0.917578125,26.51086139678955
finetune,18,0.15491583943367004,0.0,0.0,0.15491583943367004,0.0,0.0,0.0,0.0,0.9469373219373219,0.2789335735258646,0.9080078125,26.535733938217163
finetune,19,0.13363168040486822,0.0,0.0,0.13363168040486822,0.0,0.0,0.0,0.0,0.9543714387464387,0.2596948456019163,0.91484375,26.541587829589844
finetune,20,0.11951796180353715,0.0,0.0,0.11951796180353715,0.0,0.0,0.0,0.0,0.9591346153846154,0.2515589490358252,0.9228515625,26.62982177734375
finetune,21,0.10337834602534941,0.0,0.0,0.10337834602534941,0.0,0.0,0.0,0.0,0.9639200498575499,0.2068601011647843,0.937109375,26.448651790618896
finetune,22,0.08387383994808224,0.0,0.0,0.08387383994808224,0.0,0.0,0.0,0.0,0.9701967592592593,0.20089650448499013,0.9337890625,26.530136108398438
finetune,23,0.07178669290463215,0.0,0.0,0.07178669290463215,0.0,0.0,0.0,0.0,0.9754050925925926,0.2019983414273156,0.9388671875,26.423253297805786
finetune,24,0.061280100861102596,0.0,0.0,0.061280100861102596,0.0,0.0,0.0,0.0,0.9793002136752137,0.19579341721346283,0.9408203125,26.473677158355713
finetune,25,0.05221764099494981,0.0,0.0,0.05221764099494981,0.0,0.0,0.0,0.0,0.9819043803418803,0.19398001506342552,0.938671875,26.682563543319702
finetune,26,0.04342753643652907,0.0,0.0,0.04342753643652907,0.0,0.0,0.0,0.0,0.9851985398860399,0.17765808001204278,0.94609375,26.54956030845642
finetune,27,0.04174938524258655,0.0,0.0,0.04174938524258655,0.0,0.0,0.0,0.0,0.9860443376068376,0.17640114935675227,0.9482421875,26.63227343559265
finetune,28,0.0378273474384216,0.0,0.0,0.0378273474384216,0.0,0.0,0.0,0.0,0.9876691595441596,0.1728637230995446,0.9482421875,26.452122926712036
finetune,29,0.03484168219807268,0.0,0.0,0.03484168219807268,0.0,0.0,0.0,0.0,0.9883591524216524,0.17942387598404821,0.9455078125,26.41098642349243
finetune,30,0.03446956848237462,0.0,0.0,0.03446956848237462,0.0,0.0,0.0,0.0,0.9884481837606838,0.1965765567474591,0.941796875,26.373945713043213
